ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20060000095,102361,6506
T20060000130,44566,1050
T20060000198,29996,1224
T20060000201,37019,6704
T20060000202,50283,7910
T20060000206,43632,6686
T20060000286,55769,6914
T20060000343,43935,102895
T20060000363,43630,6719
T20060000431,43599,7011
T20060000549,35791,1343
T20060000722,43567,7053
T20060000871,22510,2285
T20060000876,801,6326
T20060000914,73111,7109
T20060000978,39255,101193
T20060000998,1062,7198
T20060001006,29836,9447
T20060001010,36950,8823
T20060001038,46908,9250
T20060001160,35619,6506
T20060001201,29836,9447
T20060001231,57654,6972
T20060001265,793,1000
T20060001265,793,6245
T20060001276,48996,9134
T20060001369,19,9328
T20060001395,52313,1323
T20060001428,35668,6736
T20060001464,49187,1234
T20060001571,57648,6952
T20060001607,41390,6084
T20060001764,29470,5500
T20060001806,43975,7105
T20060001897,43270,6665
T20060001962,222123,1027
T20060002025,38564,9384
T20060002077,29425,9516
T20060002121,40205,5746
T20060002259,36230,9419
T20060002324,29592,9671
T20060002375,36261,9420
T20060002381,39320,5382
T20060002419,29464,9643
T20060002442,249,9522
T20060002445,53521,6416
T20060002507,36173,6718
T20060002606,55528,9683
T20060002623,673,5963
T20060002648,49935,7716
T20060002665,119,9612
T20060002666,37597,9637
T20060002670,46537,5477
T20060002689,22,9361
T20060002711,38220,8669
T20060002715,91659,5557
T20060002810,52861,2368
T20060002819,44623,101135
T20060002888,49988,101902
T20060002987,37214,9554
T20060003008,41832,6047
T20060003011,30020,9717
T20060003026,118908,9328
T20060003053,35841,2307
T20060003067,44463,7723
T20060003147,50190,7820
T20060003170,70797,6557
T20060003193,50667,8006
T20060003231,55445,101696
T20060003241,38250,5066
T20060003271,49997,7732
T20060003312,10592,1000
T20060003344,46152,7006
T20060003349,44382,9718
T20060003384,55536,5122
T20060003388,41762,6133
T20060003394,35407,9645
T20060003438,55542,8871
T20060003441,47356,8889
T20060003529,1016,6855
T20060003545,29384,6273
T20060003634,55539,9523
T20060003646,41,6788
T20060003761,38220,8669
T20060003782,127,8920
T20060003889,883,9040
T20060003946,36248,6932
T20060003954,40951,5523
T20060004038,46824,7782
T20060004061,49990,7730
T20060004066,1179,6832
T20060004118,37302,9489
T20060004129,42157,6253
T20060004156,249,9522
T20060004168,35304,9377
T20060004179,39785,5416
T20060004243,55924,7002
T20060004252,47029,9493
T20060004311,55553,7525
T20060004347,29559,5327
T20060004554,24804,6803
T20060004706,45881,1030
T20060004723,29517,9354
T20060004792,37962,9095
T20060004897,37388,6822
T20060004945,478,5278
T20060005015,29694,6537
T20060005039,478,5278
T20060005252,119,9612
T20060005261,38761,8746
T20060005280,29743,7064
T20060005289,36213,9387
T20060005321,39785,5416
T20060005399,35408,9657
T20060005416,41910,5898
T20060005503,38524,9315
T20060005569,29396,9434
T20060005615,40894,5585
T20060005624,35413,5596
T20060005702,35805,3104
T20060005731,46824,7782
T20060005789,35841,2307
T20060005802,44318,9754
T20060005863,29836,9447
T20060005880,29435,8839
T20060005885,42752,6476
T20060005890,612,5608
T20060005912,43584,7057
T20060005929,1319,8740
T20060005950,36287,9421
T20060005954,36997,101916
T20060005964,38556,8687
T20060005981,35642,7050
T20060006031,43027,6462
T20060006033,35526,5469
T20060006136,169,9409
T20060006172,53517,8000
T20060006198,54037,2313
T20060006236,44660,8859
T20060006253,35860,6624
T20060006266,47705,1027
T20060006321,40708,5513
T20060006322,42816,6547
T20060006380,46571,7223
T20060006390,42451,6172
T20060006396,998,8763
T20060006436,29743,7064
T20060006616,41936,5879
T20060006622,39578,5335
T20060006806,32860,6553
T20060006890,55455,6498
T20060006896,919,6906
T20060006922,41684,6053
T20060006953,45878,100685
T20060006980,35668,6736
T20060007002,50051,7749
T20060007127,43974,7101
T20060007190,39559,5367
T20060007258,40756,5755
T20060007275,39361,5319
T20060007450,36230,9419
T20060007523,41018,5589
T20060007527,49096,5028
T20060007528,38755,8723
T20060007533,53276,8874
T20060007551,45641,9263
T20060007599,12246,5557
T20060007769,47540,8709
T20060007790,15462,7939
T20060007802,36221,9332
T20060007882,42291,6176
T20060007887,55567,4150
T20060007901,48893,6325
T20060008041,55457,101354
T20060008137,29387,9521
T20060008148,45118,9256
T20060008199,43875,6915
T20060008220,36206,9344
T20060008221,43975,7105
T20060008241,47642,5220
T20060008307,52494,1024
T20060008339,29893,9389
T20060008438,55575,100147
T20060008454,49996,7731
T20060008474,323,101853
T20060008522,49906,7712
T20060008538,50420,1359
T20060008611,35546,5856
T20060008723,44047,8928
T20060008746,795,6148
T20060008804,26160,2160
T20060008819,42819,6563
