ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20090000001,1,Dry,1
T20090000002,1,Dry,1
T20090000006,1,Dry,1
T20090000016,1,Dry,1
T20090000017,1,Dry,1
T20090000021,1,Dry,1
T20090000026,1,Dry,1
T20090000027,1,Dry,1
T20090000034,1,Dry,1
T20090000038,2,Wet,1
T20090000039,1,Dry,1
T20090000040,1,Dry,1
T20090000043,1,Dry,1
T20090000049,1,Dry,1
T20090000050,1,Dry,1
T20090000055,1,Dry,1
T20090000061,1,Dry,1
T20090000066,1,Dry,1
T20090000070,1,Dry,1
T20090000072,1,Dry,1
T20090000074,1,Dry,1
T20090000076,1,Dry,1
T20090000078,1,Dry,1
T20090000080,1,Dry,1
T20090000083,1,Dry,1
T20090000086,2,Wet,1
T20090000092,1,Dry,1
T20090000093,1,Dry,1
T20090000096,2,Wet,1
T20090000097,1,Dry,1
T20090000098,2,Wet,1
T20090000099,1,Dry,1
T20090000103,1,Dry,1
T20090000106,1,Dry,1
T20090000108,9,Unknown,1
T20090000115,1,Dry,1
T20090000116,2,Wet,1
T20090000122,2,Wet,1
T20090000123,1,Dry,1
T20090000125,2,Wet,1
T20090000126,1,Dry,1
T20090000128,1,Dry,1
T20090000129,1,Dry,1
T20090000132,2,Wet,1
T20090000135,1,Dry,1
T20090000137,2,Wet,1
T20090000145,1,Dry,1
T20090000153,1,Dry,1
T20090000166,1,Dry,1
T20090000177,1,Dry,1
T20090000181,1,Dry,1
T20090000184,1,Dry,1
T20090000187,1,Dry,1
T20090000188,1,Dry,1
T20090000189,1,Dry,1
T20090000193,1,Dry,1
T20090000196,1,Dry,1
T20090000204,1,Dry,1
T20090000205,1,Dry,1
T20090000212,1,Dry,1
T20090000215,1,Dry,1
T20090000217,1,Dry,1
T20090000223,1,Dry,1
T20090000226,1,Dry,1
T20090000227,1,Dry,1
T20090000236,1,Dry,1
T20090000237,1,Dry,1
T20090000242,1,Dry,1
T20090000243,2,Wet,1
T20090000245,9,Unknown,1
T20090000253,1,Dry,1
T20090000254,1,Dry,1
T20090000262,2,Wet,1
T20090000268,2,Wet,1
T20090000272,1,Dry,1
T20090000273,1,Dry,1
T20090000274,1,Dry,1
T20090000276,1,Dry,1
T20090000281,1,Dry,1
T20090000282,1,Dry,1
T20090000283,1,Dry,1
T20090000285,1,Dry,1
T20090000286,1,Dry,1
T20090000288,1,Dry,1
T20090000290,1,Dry,1
T20090000291,1,Dry,1
T20090000295,1,Dry,1
T20090000310,1,Dry,1
T20090000312,1,Dry,1
T20090000318,1,Dry,1
T20090000322,1,Dry,1
T20090000328,1,Dry,0
T20090000330,1,Dry,1
T20090000331,1,Dry,1
T20090000333,1,Dry,1
T20090000335,1,Dry,1
T20090000337,1,Dry,1
T20090000338,9,Unknown,1
T20090000344,1,Dry,1
T20090000351,1,Dry,1
T20090000352,1,Dry,1
T20090000355,1,Dry,1
T20090000359,1,Dry,1
T20090000360,1,Dry,1
T20090000362,1,Dry,1
T20090000364,1,Dry,0
T20090000366,1,Dry,1
T20090000368,1,Dry,1
T20090000369,1,Dry,1
T20090000373,1,Dry,1
T20090000374,1,Dry,1
T20090000379,1,Dry,1
T20090000381,1,Dry,1
T20090000382,1,Dry,1
T20090000386,1,Dry,1
T20090000396,1,Dry,1
T20090000397,1,Dry,1
T20090000400,1,Dry,1
T20090000406,1,Dry,1
T20090000408,9,Unknown,1
T20090000412,1,Dry,1
T20090000416,1,Dry,1
T20090000418,1,Dry,1
T20090000423,1,Dry,1
T20090000428,1,Dry,1
T20090000434,1,Dry,1
T20090000436,1,Dry,1
T20090000438,1,Dry,1
T20090000442,1,Dry,1
T20090000443,1,Dry,1
T20090000444,1,Dry,1
T20090000450,1,Dry,1
T20090000452,1,Dry,1
T20090000462,2,Wet,1
T20090000463,1,Dry,1
T20090000465,1,Dry,1
T20090000467,1,Dry,1
T20090000470,1,Dry,1
T20090000472,1,Dry,1
T20090000473,1,Dry,1
T20090000474,1,Dry,1
T20090000476,1,Dry,1
T20090000484,1,Dry,1
T20090000492,1,Dry,1
T20090000499,1,Dry,1
T20090000504,1,Dry,1
T20090000506,1,Dry,1
T20090000507,1,Dry,1
T20090000508,1,Dry,1
T20090000515,1,Dry,1
T20090000518,1,Dry,1
T20090000519,1,Dry,1
T20090000520,1,Dry,1
T20090000523,1,Dry,1
T20090000526,1,Dry,1
T20090000528,1,Dry,1
T20090000532,1,Dry,1
T20090000533,1,Dry,1
T20090000539,1,Dry,1
T20090000540,1,Dry,1
T20090000542,1,Dry,1
T20090000544,1,Dry,1
T20090000547,1,Dry,1
T20090000548,1,Dry,1
T20090000554,1,Dry,1
T20090000558,1,Dry,1
T20090000561,1,Dry,1
T20090000562,1,Dry,1
T20090000563,1,Dry,1
T20090000567,1,Dry,1
T20090000571,1,Dry,1
T20090000577,1,Dry,1
T20090000578,1,Dry,1
T20090000580,1,Dry,1
T20090000584,1,Dry,1
T20090000585,1,Dry,1
T20090000586,1,Dry,1
T20090000587,1,Dry,1
T20090000588,1,Dry,1
T20090000594,1,Dry,1
T20090000595,1,Dry,1
T20090000597,1,Dry,0
T20090000600,1,Dry,1
T20090000601,1,Dry,1
T20090000605,1,Dry,1
T20090000609,1,Dry,1
T20090000622,1,Dry,1
T20090000625,1,Dry,1
T20090000631,1,Dry,1
T20090000632,1,Dry,1
T20090000634,1,Dry,1
T20090000640,1,Dry,1
T20090000647,1,Dry,1
T20090000649,1,Dry,1
T20090000651,1,Dry,1
T20090000653,1,Dry,1
T20090000655,1,Dry,1
T20090000656,1,Dry,1
T20090000659,1,Dry,1
T20090000662,2,Wet,1
T20090000667,2,Wet,1
T20090000672,9,Unknown,1
T20090000673,1,Dry,1
T20090000679,1,Dry,1
T20090000682,1,Dry,1
T20090000687,1,Dry,1
T20090000694,2,Wet,1
T20090000695,1,Dry,1
T20090000701,1,Dry,1
T20090000703,1,Dry,1
T20090000705,1,Dry,1
T20090000706,1,Dry,1
T20090000714,2,Wet,1
T20090000715,1,Dry,1
T20090000716,1,Dry,1
T20090000717,1,Dry,1
T20090000718,1,Dry,1
T20090000720,1,Dry,1
T20090000725,1,Dry,1
T20090000731,1,Dry,1
T20090000734,1,Dry,1
T20090000737,1,Dry,1
T20090000739,1,Dry,1
T20090000740,1,Dry,1
T20090000744,1,Dry,1
T20090000758,1,Dry,0
T20090000761,1,Dry,1
T20090000763,1,Dry,1
T20090000765,1,Dry,1
T20090000770,1,Dry,1
T20090000776,1,Dry,1
T20090000782,1,Dry,1
T20090000783,1,Dry,1
T20090000785,1,Dry,1
T20090000798,1,Dry,1
T20090000799,1,Dry,1
T20090000800,1,Dry,1
T20090000807,1,Dry,1
T20090000809,1,Dry,1
T20090000811,1,Dry,1
T20090000813,1,Dry,1
T20090000817,1,Dry,1
T20090000818,1,Dry,1
T20090000819,1,Dry,1
T20090000825,1,Dry,1
T20090000826,1,Dry,1
T20090000827,1,Dry,1
T20090000831,1,Dry,1
T20090000832,1,Dry,1
T20090000837,1,Dry,1
T20090000842,1,Dry,1
T20090000846,1,Dry,1
T20090000848,1,Dry,1
T20090000850,1,Dry,1
T20090000855,1,Dry,1
T20090000857,1,Dry,1
T20090000858,1,Dry,1
T20090000859,1,Dry,1
T20090000866,1,Dry,1
T20090000867,9,Unknown,1
T20090000868,1,Dry,1
T20090000872,9,Unknown,1
T20090000875,1,Dry,1
T20090000877,1,Dry,1
T20090000878,1,Dry,1
T20090000883,1,Dry,1
T20090000899,1,Dry,1
T20090000900,1,Dry,1
T20090000901,1,Dry,1
T20090000902,1,Dry,1
T20090000907,1,Dry,1
T20090000909,1,Dry,1
T20090000911,1,Dry,1
T20090000914,1,Dry,1
T20090000919,1,Dry,1
T20090000921,9,Unknown,0
T20090000922,1,Dry,1
T20090000925,1,Dry,1
T20090000926,1,Dry,1
T20090000928,1,Dry,1
T20090000930,1,Dry,1
T20090000931,1,Dry,1
T20090000933,1,Dry,1
T20090000938,1,Dry,1
T20090000940,1,Dry,1
T20090000942,1,Dry,1
T20090000947,1,Dry,1
T20090000948,1,Dry,0
T20090000949,1,Dry,1
T20090000950,1,Dry,1
T20090000953,1,Dry,1
T20090000959,1,Dry,1
T20090000961,1,Dry,1
T20090000962,1,Dry,1
T20090000964,1,Dry,1
T20090000968,1,Dry,1
T20090000973,1,Dry,1
T20090000976,1,Dry,1
T20090000984,1,Dry,1
T20090000985,1,Dry,1
T20090000986,1,Dry,1
T20090000987,1,Dry,1
T20090000988,1,Dry,1
T20090000990,1,Dry,1
T20090000995,1,Dry,1
T20090001000,1,Dry,1
T20090001004,1,Dry,1
T20090001009,1,Dry,1
T20090001012,1,Dry,1
T20090001019,1,Dry,1
T20090001020,1,Dry,1
T20090001021,1,Dry,1
T20090001022,1,Dry,1
T20090001026,1,Dry,0
T20090001030,1,Dry,1
T20090001034,1,Dry,1
T20090001037,1,Dry,1
T20090001039,1,Dry,1
T20090001041,1,Dry,1
T20090001050,1,Dry,1
T20090001053,1,Dry,1
T20090001054,1,Dry,1
T20090001059,1,Dry,1
T20090001065,1,Dry,1
T20090001074,1,Dry,1
T20090001076,1,Dry,1
T20090001079,1,Dry,1
T20090001081,1,Dry,1
T20090001084,1,Dry,1
T20090001088,1,Dry,1
T20090001089,1,Dry,1
T20090001090,1,Dry,1
T20090001097,9,Unknown,1
T20090001098,1,Dry,1
T20090001101,1,Dry,1
T20090001104,1,Dry,1
T20090001107,1,Dry,1
T20090001110,2,Wet,1
T20090001122,1,Dry,1
T20090001124,1,Dry,1
T20090001129,1,Dry,1
T20090001138,1,Dry,1
T20090001141,9,Unknown,1
T20090001143,9,Unknown,1
T20090001144,1,Dry,1
T20090001146,1,Dry,1
T20090001148,1,Dry,1
T20090001149,1,Dry,1
T20090001155,1,Dry,1
T20090001162,1,Dry,1
T20090001169,1,Dry,1
T20090001173,1,Dry,1
T20090001186,1,Dry,1
T20090001187,1,Dry,1
T20090001189,1,Dry,1
T20090001191,1,Dry,1
T20090001193,1,Dry,1
T20090001194,1,Dry,1
T20090001201,1,Dry,1
T20090001202,1,Dry,1
T20090001204,1,Dry,1
T20090001205,1,Dry,1
T20090001210,1,Dry,1
T20090001215,1,Dry,1
T20090001218,1,Dry,1
T20090001220,1,Dry,1
T20090001224,1,Dry,1
T20090001226,1,Dry,1
T20090001230,1,Dry,1
T20090001233,1,Dry,1
T20090001238,1,Dry,1
T20090001244,2,Wet,1
T20090001247,1,Dry,1
T20090001249,1,Dry,1
T20090001250,1,Dry,1
T20090001251,1,Dry,1
T20090001259,1,Dry,1
T20090001260,1,Dry,1
T20090001266,1,Dry,1
T20090001268,1,Dry,1
T20090001271,1,Dry,1
T20090001272,1,Dry,1
T20090001275,1,Dry,1
T20090001276,1,Dry,1
T20090001279,2,Wet,1
T20090001284,1,Dry,1
T20090001289,1,Dry,1
T20090001290,1,Dry,1
T20090001297,1,Dry,1
T20090001298,9,Unknown,1
T20090001299,1,Dry,1
T20090001302,1,Dry,1
T20090001303,1,Dry,1
T20090001304,1,Dry,1
T20090001306,1,Dry,1
T20090001309,1,Dry,1
T20090001317,1,Dry,1
