id,state,name,shape
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-141.002672,69.645609 -141.0,60.316 -135.945905,59.663802 -132.559178,57.503927 -130.12372,55.80704 -130.62807,54.739341 -130.881297,55.495582 -131.197489,55.391051 -131.706744,55.706435 -132.26655161913,55.740371383155 -132.708697,56.112124 -132.313799061557,56.6766008391318 -133.517197,57.177776 -133.251126,57.649966 -135.322604,59.007812 -135.727989207995,58.3970879137701  -136.265906,58.314499 -137.568216,58.587989 -139.67631,59.611249 -140.256351,59.703052 -144.358774,60.188132 -145.957404,60.461101 -146.655894,60.340462 -145.901279,60.715373 -146.517848,60.688102 -146.65343,61.047752 -147.554439,61.091719 -148.241664,60.937738 -148.025597,60.279029 -148.079466,60.073251 -148.305725,60.054468 -148.957554,59.998371 -149.798303891821,59.6775451724131 -150.584636,59.49451 -151.190948065975,59.2066316870653 -151.96313,59.344958 -151.11649,59.696132 -151.381959,60.296951 -150.515058,60.999443 -150.286978,61.257443 -151.573698,60.975876 -152.312226,60.420397 -152.793584,59.89672 -153.392022,59.638856 -154.044563,59.388295 -153.547283,58.983716 -153.96037,58.487831 -154.539367,58.055887 -155.291651,57.735809 -156.481632,57.338705 -156.986171,56.911131 -157.715998,56.648492 -158.264791786875,56.2095966314062 -158.737009,55.953313 -159.639619,55.617915 -160.615305,55.575516 -161.35767,55.612603 -162.292511,55.033429 -162.707203,54.972023 -163.280633,54.695367 -164.576896,54.824564 -163.338395,54.956191 -161.972624,55.800526 -160.532582,55.869891 -159.369434,56.657073 -157.583089466871,57.494743560496 -157.003401,58.836822 -158.559499,58.841819 -159.753753662109,58.8557243347168 -161.790374755859,59.4681968688965 -162.748554,59.962664 -165.124792,60.449191 -164.939496,60.924774 -165.307976,61.181823 -166.165232,61.550618 -165.294962,62.403353 -163.73265,63.213257 -162.064798774454,63.5073629802754 -161.373572,64.535028 -161.902429,64.703851 -163.875774,64.572935 -166.911921640495,65.1259645892355 -168.099046,65.592239 -165.607237,66.119397 -163.955901,66.21717 -161.623983,66.162082 -162.544381,66.804872 -161.599293514082,66.5932695533062 -162.661661,67.01889 -166.368546,68.28177 -163.535314,69.141656 -161.859745,70.308048 -158.976614952215,70.7963766234588 -155.513987,71.096794 -155.150524,71.11205 -152.735892,70.884545 -151.297598,70.400748 -148.858069,70.422917 -146.335147,70.176235 -143.753065,70.137242 -141.119233,69.673527</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-166.03187,66.264639 -166.031342,66.264631 -166.019921,66.252754 -166.066397,66.246531 -166.096969,66.237833 -166.121659,66.214773 -166.13839,66.210089 -166.153012,66.212289 -166.170909,66.218437 -166.172071,66.219909 -166.178474,66.228016 -166.177606,66.234732 -166.165412,66.239084 -166.152374,66.246373 -166.129652,66.252813 -166.101781,66.258743 -166.066097,66.263721 -166.053153,66.264944</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-168.952766,65.758911 -168.947278,65.763817 -168.93724,65.767116 -168.915518,65.770484 -168.902235,65.769665 -168.893219,65.744705 -168.898754,65.739709 -168.903439,65.738454 -168.93122,65.73894 -168.94076,65.742714 -168.951388,65.749319 -168.954515,65.757144</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-168.21012,64.99896 -168.207906,65.003291 -168.16909,65.024067 -168.156162,65.029174 -168.129109,65.034565 -168.076108,65.043289 -168.004872,65.038897 -167.972262,65.030534 -167.953076,65.023479 -167.924296,65.002728 -167.916447,64.988618 -167.913829,64.969943 -167.91906,64.960813 -167.953094,64.932994 -167.976149,64.922872 -168.037032,64.909284 -168.090879,64.911113 -168.137033,64.918432 -168.187035,64.934902 -168.210114,64.951372 -168.213962,64.967845 -168.213963,64.984318</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-171.75094369872,63.7185216239802 -171.733205832405,63.7203274724761 -171.725748244853,63.7347454998066 -171.737431817312,63.7603499229179 -171.738177570286,63.784711411559 -171.692686224554,63.7825984287402 -171.673296473794,63.7880673384826 -171.659872775734,63.7757622987881 -171.638991499756,63.7592312838216 -171.641477368697,63.7455590142829 -171.652663778929,63.736609901512 -171.646692,63.729425 -171.649923,63.70254 -171.632194,63.688601 -171.521859,63.658797 -171.202557,63.606897 -171.044486,63.580431 -170.907197,63.572107 -170.859032,63.587503 -170.698156,63.646778 -170.488192,63.696723 -170.462947,63.698022 -170.400734392857,63.6891845872062 -170.359363,63.687321 -170.344855,63.694225 -170.281988,63.68502 -170.257808,63.666611 -170.154754,63.619072 -170.113066,63.616245 -170.076689,63.587988 -170.047114,63.490135 -170.007943,63.475428 -169.906304,63.457519 -169.747634,63.432756 -169.643167,63.427802 -169.566562,63.388725 -169.554375,63.377158 -169.520524,63.365941 -169.38408,63.356733 -169.281422,63.348381 -169.101961,63.338022 -169.05195,63.343127 -168.937385,63.333789 -168.932623,63.32914 -168.692939,63.302282 -168.686675,63.293022 -168.751537,63.217962 -168.789266,63.179646 -168.85875,63.146958 -168.889683,63.147708 -168.963577,63.167104 -169.042674,63.176511 -169.198398,63.176011 -169.303477,63.164439 -169.396308,63.136617 -169.471949,63.098565 -169.534984,63.074355 -169.575873,63.03645 -169.572777,63.022118 -169.638309,62.937527 -169.757249,62.960087 -169.734938,62.974468 -169.788466,63.043015 -169.838511,63.084339 -169.944056,63.13236 -170.006196,63.14454 -170.049622,63.163377 -170.053402,63.168858 -170.124354,63.183665 -170.174421,63.185464 -170.181985,63.178804 -170.263032,63.179147 -170.285648,63.19457 -170.277915,63.200239 -170.30363,63.238692 -170.364806,63.285596 -170.512102,63.341881 -170.712572,63.385975 -170.92345,63.420859 -171.067663,63.424579 -171.269249,63.385386 -171.287157,63.376642 -171.285411,63.366464 -171.333089,63.335393 -171.433319,63.307578 -171.464455,63.306915 -171.562263,63.334591 -171.667115,63.356166 -171.739321,63.366114 -171.795297,63.407853 -171.818259,63.429452 -171.824872,63.437141 -171.849984,63.485039 -171.840382,63.547724 -171.833681,63.580074 -171.791881,63.620625 -171.757081,63.640252 -171.743979,63.654905 -171.742338,63.665494 -171.755552,63.701173 -171.7543357184,63.7189602474491</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-162.614621,63.621832 -162.587527,63.625115 -162.558234,63.634308 -162.541389,63.635727 -162.512298,63.629784 -162.498174890994,63.6220691430345 -162.451929,63.62127 -162.440229,63.622491 -162.430304,63.625745 -162.425419,63.62995 -162.425265,63.631654 -162.427696,63.633134 -162.424205,63.636215 -162.401203,63.634367 -162.374243,63.626425 -162.341892,63.594062 -162.345179,63.551785 -162.377988,63.543813 -162.416802,63.547389 -162.470029,63.5475 -162.552701,63.540951 -162.562007,63.537105 -162.614949,63.540601 -162.676581,63.555648 -162.680973,63.556859 -162.707559,63.577607 -162.682629,63.584066 -162.644513,63.602599</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-147.131319,60.912932 -147.115336,60.911938 -147.077772,60.899503 -147.071788,60.893833 -147.089645,60.874693 -147.126799,60.858011 -147.141802,60.853991 -147.192354,60.861635 -147.217749,60.869741 -147.253128,60.872969 -147.309086,60.873924 -147.32564,60.877153 -147.321084,60.880198 -147.226303,60.910421 -147.210324,60.908776 -147.193399,60.902949 -147.178969,60.903704</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-147.952039,60.741879 -147.906021,60.735515 -147.848176,60.698116 -147.846103,60.694509 -147.860057,60.677233 -147.868067,60.670825 -147.932931,60.655714 -147.970684,60.673799 -148.020259,60.72495 -147.965419,60.751996 -147.957239,60.747706</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-147.444468,60.699654 -147.384779,60.710017 -147.308537,60.666793 -147.302915,60.660673 -147.337429,60.632685 -147.344494,60.628544 -147.457407,60.61909 -147.486045,60.619348 -147.501603,60.654772 -147.486484,60.686582 -147.479814,60.693593 -147.449559,60.700046</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-173.116905,60.516005 -173.098092,60.533367 -173.098094,60.573993 -173.041847,60.611497 -172.999659,60.611498 -172.97153,60.605249 -172.915274,60.527122 -172.915273,60.514621 -172.895349,60.49975 -172.715261,60.429864 -172.706472,60.425179 -172.480536,60.400184 -172.352622,60.381435 -172.341399,60.373145 -172.333051,60.364359 -172.269754,60.333887 -172.254821,60.334082 -172.254821,60.326466 -172.291289,60.321193 -172.435476,60.332653 -172.491531,60.334874 -172.505544,60.330428 -172.519558,60.323758 -172.547585,60.317088 -172.589625,60.314863 -172.612982,60.319309 -172.622325,60.330424 -172.757794,60.374881 -172.811529,60.406621 -172.951477,60.478649 -172.959056,60.479695 -172.966515,60.478167 -172.990296,60.478702 -173.119005,60.500067 -173.120769,60.51301</coordinates></LinearRing></outerBoundaryIs></Polygon>"
