States,MobileHomes
Alabama,14.37142857
Alaska,4.6
Arizona,10.375
Arkansas,12.425
California,3.69245283
Colorado,4.528571429
Connecticut,0.74
Delaware,10.2
Florida,9.328
Georgia,9.969230769
Hawaii,0.15
Idaho,9.25
Illinois,2.521052632
Indiana,5.544444444
Iowa,4.16
Kansas,5.225
Kentucky,12.7
Louisiana,12.84285714
Maine,9.05
Maryland,1.6
Massachusetts,0.85
Michigan,5.4
Minnesota,3.45
Mississippi,15.075
Missouri,6.566666667
Montana,11.8
Nebraska,3.8
Nevada,6.133333333
New Hampshire,5.95
New Jersey,0.930769231
New Mexico,16.53333333
New York,2.293103448
North Carolina,14.35384615
North Dakota,7
Ohio,4.016666667
Oklahoma,9
Oregon,8.48
Pennsylvania,4.194736842
Rhode Island,1.05
South Carolina,18.43333333
South Dakota,9
Tennessee,10.08888889
Texas,7.434375
Utah,4.333333333
Vermont,6.9
Virginia,5.7
Washington,7.277777778
West Virginia,13.96666667
Wisconsin,3.6875
Wyoming,14
