ID,region name,local government authority,postcode,location,longitude,latitude
1,Northern Metropolitan,Banyule,3081,BELLFIELD,145.0390316,-37.7549559
2,Northern Metropolitan,Banyule,3088,BRIAR HILL,145.1199251,-37.7094615
3,Northern Metropolitan,Banyule,3084,EAGLEMONT,145.0549068,-37.7636596
4,Northern Metropolitan,Banyule,3088,GREENSBOROUGH,145.1030275,-37.7046192
5,Northern Metropolitan,Banyule,3084,HEIDELBERG,145.066849,-37.756367
6,Northern Metropolitan,Banyule,3081,HEIDELBERG HEIGHTS,145.056061,-37.742947
7,Northern Metropolitan,Banyule,3081,HEIDELBERG RGH,145.0438252,-37.7417753
8,Northern Metropolitan,Banyule,3081,HEIDELBERG WEST,145.041466,-37.7488716
9,Northern Metropolitan,Banyule,3079,IVANHOE,145.042313,-37.768791
10,Northern Metropolitan,Banyule,3079,IVANHOE EAST,145.0596351,-37.772971
11,Northern Metropolitan,Banyule,3093,LOWER PLENTY,145.1182718,-37.7365088
12,Northern Metropolitan,Banyule,3085,MACLEOD,145.070251,-37.726738
13,Northern Metropolitan,Banyule,3094,MONTMORENCY,145.1217608,-37.7164636
14,Northern Metropolitan,Banyule,3084,ROSANNA,145.065552,-37.742641
15,Northern Metropolitan,Banyule,3088,ST HELENA,145.1369409,-37.684716
16,Northern Metropolitan,Banyule,3084,VIEWBANK,145.091248,-37.732758
17,Northern Metropolitan,Banyule,3087,WATSONIA,145.0820023,-37.711699
18,Northern Metropolitan,Banyule,3087,WATSONIA NORTH,145.0846775,-37.7000821
19,Northern Metropolitan,Banyule,3085,YALLAMBIE,145.1041917,-37.7255053
20,Northern Metropolitan,Darebin,3078,ALPHINGTON,145.0306948,-37.7810539
21,Northern Metropolitan,Darebin,3078,FAIRFIELD,145.018082,-37.779305
22,Northern Metropolitan,Darebin,3086,LA TROBE UNIVERSITY,145.0465813,-37.72165
23,Northern Metropolitan,Darebin,3070,NORTHCOTE,144.9997396,-37.7736132
24,Northern Metropolitan,Darebin,3072,PRESTON,145.0107588,-37.7399362
25,Northern Metropolitan,Darebin,3073,RESERVOIR,145.0107588,-37.7118644
26,Northern Metropolitan,Darebin,3071,THORNBURY,145.0080039,-37.7600493
27,Northern Metropolitan,Hume,3049,ATTWOOD,144.8872712,-37.6712394
28,Northern Metropolitan,Hume,3047,BROADMEADOWS,144.9199591,-37.6832693
29,Northern Metropolitan,Hume,3428,BULLA,144.8064212,-37.6366043
30,Northern Metropolitan,Hume,3061,CAMPBELLFIELD,144.955677,-37.665113
